gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,atq,cshoq,dlttq,lctq,costat,prccq
1300,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,45357,781.707,5661,15432,A,104.31
1300,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,46412,781.762,5562,15574,A,101.97
1300,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,46625,770.691,5599,16367,A,94.69
1300,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,49316,770.4,5554,18371,A,103.57
1300,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,50365,762.115,9700,15659,A,112.05
1300,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,51181,760.875,9607,15911,A,116.32
1300,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,53556,762.125,9608,18213,A,116.59
1300,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,54146,760.8,12182,16331,A,115.85
1300,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,54779,762.338,11181,17281,A,124.87
1300,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,55668,760.569,11329,17981,A,133.29
1300,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,56768,761.823,11453,18225,A,141.74
1300,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,59387,750.9,12573,18861,A,153.36
1440,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,60038,489.929,16778,7128,A,56.25
1440,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,60938,490.548,17761,6650,A,52.97
1440,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,61099,490.804,17600,7058,A,56.86
1440,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,61683.1,491.053,17988.2,7108.5,A,58.27
1440,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,62486.5,491.243,17749.3,7221.9,A,66.4
1440,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,63317.1,491.663,17537.4,7869.9,A,70.09
1440,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,61442,491.709,17319.9,7779.4,A,64.21
1440,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,63467.7,491.712,17620.5,9498,A,62.96
1440,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,61728.3,491.712,16722.2,7914.5,A,67.13
1440,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,62739.1,491.837,16796.9,8392.2,A,69.47
1440,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,63964.9,491.842,18362.4,7322,A,70.24
1440,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,64729.1,492.006,19658.4,8271.3,A,73.57
1447,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,154684,1016,54712,,A,78.12
1447,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,157152,1002,52740,,A,77.72
1447,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,154216,985,48653,,A,74.13
1447,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,161184,969,41247,,A,69.55
1447,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,158816,951,47311,,A,61.4
1447,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,159642,925,50649,,A,60.76
1447,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,153377,917,44894,,A,64.04
1447,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,158893,904,31266,,A,74.08
1447,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,161385,895,51647,,A,79.11
1447,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,166997,885,51945,,A,84.24
1447,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,168577,871,48762,,A,90.46
1447,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,181159,859,43870,,A,99.31
1487,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,520701,1347.077,31999,,A,54.79
1487,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,509987,1307.449,30360,,A,61.82
1487,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,501985,1246.795,30719,,A,56.82
1487,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,496943,1193.917,29350,,A,61.97
1487,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,502777,1130.738,31952,,A,54.05
1487,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,510349,1082.689,33329,,A,52.89
1487,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,514568,1042.889,32277,,A,59.34
1487,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,498264,995.336,30177,,A,65.31
1487,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,500162,942.48,30747,,A,62.43
1487,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,499762,903.393,31812,,A,62.52
1487,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,503073,898.88,31039,,A,61.39
1487,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,498301,899.045,31450,,A,59.58
1690,2015-03-31,2015,2,INDL,C,D,STD,USD,2015Q1,2015Q2,261194,5762.278,40072,58729,A,124.43
1690,2015-06-30,2015,3,INDL,C,D,STD,USD,2015Q2,2015Q3,273151,5705.4,47419,65285,A,125.425
1690,2015-09-30,2015,4,INDL,C,D,STD,USD,2015Q3,2015Q4,290479,5578.753,53463,80610,A,110.3
1690,2015-12-31,2016,1,INDL,C,D,STD,USD,2015Q4,2016Q1,293284,5544.487,53204,76092,A,105.26
1690,2016-03-31,2016,2,INDL,C,D,STD,USD,2016Q1,2016Q2,305277,5478.446,69374,68265,A,108.99
1690,2016-06-30,2016,3,INDL,C,D,STD,USD,2016Q2,2016Q3,305602,5393.165,68939,71486,A,95.6
1690,2016-09-30,2016,4,INDL,C,D,STD,USD,2016Q3,2016Q4,321686,5336.166,75427,79006,A,113.05
1690,2016-12-31,2017,1,INDL,C,D,STD,USD,2016Q4,2017Q1,331141,5255.423,73557,84130,A,115.82
1690,2017-03-31,2017,2,INDL,C,D,STD,USD,2017Q1,2017Q2,334532,5205.815,84531,73342,A,143.66
1690,2017-06-30,2017,3,INDL,C,D,STD,USD,2017Q2,2017Q3,345173,5169.782,89864,81302,A,144.02
1690,2017-09-30,2017,4,INDL,C,D,STD,USD,2017Q3,2017Q4,375319,5126.201,97207,100814,A,154.12
1690,2017-12-31,2018,1,INDL,C,D,STD,USD,2017Q4,2018Q1,406794,5081.651,103922,115788,A,169.23
1837,2015-03-31,2015,1,INDL,C,D,STD,USD,2015Q1,2015Q1,14138,119.927,3524,2371,A,49.65
1837,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,13835,120.082,3452,2047,A,46.56
1837,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,14206,120.249,3150,2802,A,61.04
1837,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,14754,120.377,3275,3000,A,63.81
1837,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,14336,120.679,3273,2489,A,65.14
1837,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,14488,120.742,3709,2205,A,65.97
1837,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,21185,,5272,2321,A,
