issue_id,rating_type,rating_date,rating
5,DPR,5/20/1993,NR
5,MR,5/24/2017,NR
5,FR,12/14/2018,A-
5,SPR,5/16/2019,BB+
6,DPR,10/13/1993,NR
6,MR,5/24/2017,NR
6,FR,12/14/2018,A-
6,SPR,5/16/2019,BB+
1057,DPR,06/04/1991,NR
1057,MR,12/19/2005,NR
1057,SPR,06/02/2016,NR
1057,FR,12/02/2016,NR
3024,DPR,12/03/1993,NR
3024,FR,2/27/2013,A-
3024,MR,12/01/2013,NR
3024,SPR,12/02/2013,NR
11624,DPR,4/24/2001,NR
11624,FR,2/22/2011,A-
11624,MR,8/15/2011,NR
11624,SPR,8/15/2011,NR
12958,DPR,11/09/1994,NR
12958,SPR,1/28/2005,BB+
12958,FR,10/05/2005,BB
12958,MR,12/15/2010,NR
12959,DPR,11/09/1994,NR
12959,FR,1/17/2012,NR
12959,MR,1/20/2017,Baa1
12959,SPR,9/18/2018,A-
14888,DPR,02/12/1991,NR
14888,SPR,2/22/2017,BBB-
14888,MR,03/02/2017,Baa3
14888,FR,4/19/2019,BBB
14889,DPR,04/08/1991,NR
14889,SPR,2/22/2017,BBB-
14889,MR,03/02/2017,Baa3
14889,FR,4/19/2019,BBB
16414,DPR,1/28/1993,NR
16414,MR,02/01/2013,NR
16414,FR,02/01/2013,NR
16414,SPR,02/02/2013,NR
16417,DPR,4/19/1993,NR
16417,MR,06/11/2008,Baa1
16417,FR,01/09/2015,BBB+
16417,SPR,03/12/2019,A
16420,DPR,08/03/1993,NR
16420,MR,06/11/2008,Baa1
16420,FR,01/09/2015,BBB+
16420,SPR,08/11/2018,NR
16422,DPR,1/28/1994,NR
16422,MR,06/11/2008,Baa1
16422,FR,1/18/2019,A
16422,SPR,03/12/2019,A
16936,DPR,6/29/2000,NR
16936,FR,5/13/2009,A
16936,MR,05/01/2010,NR
16936,SPR,05/01/2010,NR
18546,DPR,11/27/1990,NR
18546,FR,10/31/2000,NR
