GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm
1300,LC,10145,22168,19620131,E,HONEYWELL INTERNATIONAL INC
1318,LU,41443,20057,19650118,20071130,ALLTEL CORP
1440,LC,24109,20077,19620131,E,AMERICAN ELECTRIC POWER CO
1440,LC,24109,20077,19510101,19620130,AMERICAN ELECTRIC POWER CO
1447,LU,59176,90,19721214,E,AMERICAN EXPRESS CO
1487,LC,66800,137,19721214,E,AMERICAN INTERNATIONAL GROUP
1690,LU,14593,7,19801212,E,APPLE INC
1837,LC,15553,116,19721214,20160630,SOUTHERN CO GAS
2019,LC,49656,20265,19691204,E,BANK OF NEW YORK MELLON CORP
2086,LC,27887,20277,19620131,E,BAXTER INTERNATIONAL INC
2111,LU,39642,20284,19630925,E,BECTON DICKINSON & CO
2136,LC,65875,20288,19831130,E,VERIZON COMMUNICATIONS INC
2146,LC,65883,20290,19840216,20061229,BELLSOUTH CORP
2176,LC,83443,540,19960509,20100131,BERKSHIRE HATHAWAY
2176,LC,17778,540,20100201,E,BERKSHIRE HATHAWAY
2176,LC,83443,540,20100201,E,BERKSHIRE HATHAWAY
2176,LC,17778,540,19761014,20100131,BERKSHIRE HATHAWAY
2410,LU,29890,20333,19620702,E,BP PLC
2504,LU,10890,21814,19500101,19620130,UNISYS CORP
2504,LU,10890,21814,19620131,E,UNISYS CORP
2620,LC,20694,841,19831230,20081103,MUFG AMERICAS HOLDINGS CORP
2663,LU,25320,20384,19620131,E,CAMPBELL SOUP CO
2817,LC,18542,20408,19500101,19620130,CATERPILLAR INC
2817,LC,18542,20408,19620131,E,CATERPILLAR INC
2884,LC,60599,20421,19721214,E,CENTURYLINK INC
2968,LC,47896,20436,19690305,E,JPMORGAN CHASE & CO
2991,LU,14541,20440,19500101,19620130,CHEVRON CORP
2991,LU,14541,20440,19620131,E,CHEVRON CORP
3026,LU,23393,1103,19761230,E,CHURCH & DWIGHT INC
3105,LC,24046,6996,19840419,20080730,IHEARTMEDIA INC
3221,LC,61735,20203,19800602,E,AON PLC
3231,LC,25081,1261,19721214,E,COMERICA INC
3243,LC,70519,20483,19861029,E,CITIGROUP INC
3452,LC,27895,23504,19630531,19821028,CONTINENTAL AIRLINES INC-OLD
3735,LC,49680,20557,19700130,E,DANAHER CORP
3735,LC,49680,20557,19700101,19700129,DANAHER CORP
3813,LU,49154,20561,19690908,E,TARGET CORP
3835,LC,19350,20566,19620131,E,DEERE & CO
3835,LC,19350,20566,19491101,19620130,DEERE & CO
3980,LC,26403,20587,19620131,E,DISNEY (WALT) CO
4029,LC,64936,20592,19830602,E,DOMINION ENERGY INC
4060,LC,20626,20597,19620131,20170831,DUPONT DE NEMOURS INC
4060,LC,16851,56027,20170901,E,DUPONT DE NEMOURS INC
4087,LC,11703,20606,19620131,20170831,DU PONT (E I) DE NEMOURS
4093,LC,27959,20608,19620131,E,DUKE ENERGY CORP
4240,LC,20239,22983,19640131,19831213,EL PASO CO
4240,LC,20239,22983,19640101,19640130,EL PASO CO
4242,LC,77481,22983,19920313,20120531,EL PASO CORP
4331,LU,23042,20646,19580101,19620130,EMPIRE DISTRICT ELECTRIC CO
4331,LU,23042,20646,19620131,20170131,EMPIRE DISTRICT ELECTRIC CO
4430,LC,24328,20662,19620131,E,EQT CORP
4503,LC,11850,20678,19620131,E,EXXON MOBIL CORP
4503,LC,11850,20678,19500101,19620130,EXXON MOBIL CORP
4510,LU,19166,20681,19500101,19620130,FMC CORP
4510,LU,19166,20681,19620131,E,FMC CORP
4517,LC,24205,20684,19620131,E,NEXTERA ENERGY INC
4517,LC,24205,20684,19510101,19620130,NEXTERA ENERGY INC
4611,LU,77462,22856,19920317,E,MACY'S INC
4611,LU,18550,22856,19500201,19620130,MACY'S INC
4611,LU,18550,22856,19620131,19880728,MACY'S INC
4640,LU,34746,1741,19800131,E,FIFTH THIRD BANCORP
4640,LU,34746,1741,19800101,19800130,FIFTH THIRD BANCORP
4674,LC,35044,1620,19721214,E,REGIONS FINANCIAL CORP
4678,LC,35167,5259,19820104,20160815,FIRSTMERIT CORP
4682,LC,66157,1645,19721214,20010226,U S BANCORP/DE-OLD
4699,LC,35554,1689,19721214,E,M & T BANK CORP
4723,LC,66157,1645,20010227,E,U S BANCORP
4739,LC,36469,1869,19721214,20081231,WACHOVIA CORP
4839,LC,25785,20750,19620131,E,FORD MOTOR CO
4839,LC,25785,20750,19571231,19620130,FORD MOTOR CO
5047,LC,12060,20792,19620131,E,GENERAL ELECTRIC CO
5047,LC,12060,20792,19500101,19620130,GENERAL ELECTRIC CO
5071,LC,17144,20798,19620131,E,GENERAL MILLS INC
5071,LC,17144,20798,19500601,19620130,GENERAL MILLS INC
5072,LC,14558,53687,20140410,E,ALLY FINANCIAL INC
5073,LC,12369,53554,20101118,E,GENERAL MOTORS CO
5180,LU,75064,1973,19721214,E,GLAXOSMITHKLINE PLC
5606,LC,27828,20908,19620131,E,HP INC
5619,LU,41807,2141,19810130,20051130,HIBERNIA CORP  -CL A
5619,LU,41807,2141,19810101,19810129,HIBERNIA CORP  -CL A
5680,LC,66181,5085,19810922,E,HOME DEPOT INC
5786,LU,42906,2093,19721214,E,HUNTINGTON BANCSHARES
5959,LC,12431,20977,19620131,E,TRANE TECHNOLOGIES PLC
5959,LC,12431,20977,19500101,19620130,TRANE TECHNOLOGIES PLC
6066,LC,12490,20990,19620131,E,INTL BUSINESS MACHINES CORP
6066,LC,12490,20990,19500101,19620130,INTL BUSINESS MACHINES CORP
6310,LC,12558,53667,20110211,E,KINDER MORGAN INC
6502,LC,16678,21068,19620131,E,KROGER CO
6502,LC,16678,21068,19500101,19620130,KROGER CO
6547,LC,12781,21080,19620131,E,SPIRE INC
6547,LC,12781,21080,19501001,19620130,SPIRE INC
6565,LU,48486,7013,19840504,E,LAM RESEARCH CORP
6669,LC,89731,21095,20030415,E,LENNAR CORP
6669,LC,52708,21095,19710623,E,LENNAR CORP
6682,LC,20415,21097,19620131,E,JEFFERIES FINANCIAL GRP INC
6682,LC,20415,21097,19500101,19620130,JEFFERIES FINANCIAL GRP INC
7067,LC,51706,3042,19721214,20110705,MARSHALL & ILSLEY CORP
7163,LU,17478,21179,19620131,E,S&P GLOBAL INC
7163,LU,17478,21179,19500101,19620130,S&P GLOBAL INC
7228,LC,60097,2850,19721214,E,MEDTRONIC PLC
7241,LC,17005,21185,19620131,E,CVS HEALTH CORP
7241,LC,17005,21185,19500101,19620130,CVS HEALTH CORP
7267,LC,52919,21190,19710727,20081231,MERRILL LYNCH & CO INC
7647,LC,59408,3151,19690102,E,BANK OF AMERICA CORP
7875,LC,60986,3178,19721214,E,NEWELL BRANDS INC
7977,LC,23931,21300,19620131,E,XCEL ENERGY INC
8007,LC,38703,21305,19621210,E,WELLS FARGO & CO
8133,LC,63714,3379,19810716,20150817,OMNICARE INC
8215,LU,77157,22462,19911211,E,O-I GLASS INC
8215,LU,13661,22462,19620131,19870323,O-I GLASS INC
8215,LU,13661,22462,19500101,19620130,O-I GLASS INC
8245,LC,60442,3685,19830119,E,PNC FINANCIAL SVCS GROUP INC
8253,LU,60506,3487,19721214,E,PACCAR INC
8264,LC,13688,21356,19620131,E,PG&E CORP
8264,LC,13688,21356,19510101,19620130,PG&E CORP
8455,LC,22517,21376,19620131,E,PPL CORP
8479,LC,13856,21384,19620131,E,PEPSICO INC
8543,LC,13901,21398,19620131,E,ALTRIA GROUP INC
8543,LC,13901,21398,19500101,19620130,ALTRIA GROUP INC
8549,LC,13928,21401,19620131,E,CONOCOPHILLIPS
8549,LC,13928,21401,19500101,19620130,CONOCOPHILLIPS
8762,LU,18163,21446,19620131,E,PROCTER & GAMBLE CO
8762,LU,18163,21446,19490701,19620130,PROCTER & GAMBLE CO
8789,LC,64486,3684,19721214,20150202,PROTECTIVE LIFE CORP
8796,LC,60442,3685,19721214,19830118,PROVIDENT NATIONAL CORP
9217,LC,23990,21527,19620131,20090401,ROHM AND HAAS CO
9217,LC,23990,21527,19500101,19620130,ROHM AND HAAS CO
9302,LU,62383,3954,19721214,20151001,RYLAND GROUP INC
9774,LC,70923,4062,19721214,20130926,SMITHFIELD FOODS INC
9778,LU,60206,4162,19721214,E,SNAP-ON INC
9850,LC,18411,21640,19620228,E,SOUTHERN CO
9899,LC,66093,21645,19840216,E,AT&T INC
10002,LC,72696,21659,19870130,20180228,CALATLANTIC GROUP INC
10035,LU,72726,4260,19721214,E,STATE STREET CORP
10187,LC,68144,21691,19850701,20191231,SUNTRUST BANKS INC
10484,LC,79641,23504,19930902,20100930,UNITED AIRLINES INC
10484,LC,79640,23504,19930902,20010122,UNITED AIRLINES INC
10507,LU,24563,21740,19620131,20071031,ENERGY FUTURE HOLDINGS CORP
10507,LU,24563,21740,19510213,19620130,ENERGY FUTURE HOLDINGS CORP
10793,LC,77730,4620,19721214,E,TYSON FOODS INC  -CL A
10795,LC,91103,21793,20060202,E,UNITED AIRLINES HOLDINGS INC
10795,LC,19596,21793,19620131,20030402,UNITED AIRLINES HOLDINGS INC
10795,LC,19596,21793,19500101,19620130,UNITED AIRLINES HOLDINGS INC
10884,LC,89329,22568,20020320,20150130,CHIQUITA BRANDS INTL INC
10884,LU,14955,22568,20020320,20020328,CHIQUITA BRANDS INTL INC
10884,LU,14955,22568,20020301,20020319,CHIQUITA BRANDS INTL INC
10884,LU,14955,22568,19620131,20020228,CHIQUITA BRANDS INTL INC
10884,LU,14955,22568,19500101,19620130,CHIQUITA BRANDS INTL INC
10983,LU,17830,21832,19620131,E,RAYTHEON TECHNOLOGIES CORP
10983,LU,17830,21832,19500101,19620130,RAYTHEON TECHNOLOGIES CORP
10984,LC,39087,21833,20130701,20130710,SPRINT CORP
10984,LC,39087,21833,19630410,20130630,SPRINT CORP
11060,LC,43553,21849,19660725,E,VF CORP
11259,LU,55976,21880,19721120,E,WALMART INC
