PERMNO,date,RET
14593,2014-01-02,-0.014064
14593,2014-01-03,-0.021966
14593,2014-01-06,0.005453
14593,2014-01-07,-0.007156
14593,2014-01-08,0.006338
14593,2014-01-09,-0.012772
14593,2014-01-10,-0.006671
14593,2014-01-13,0.005235
14593,2014-01-14,0.019898
14593,2014-01-15,0.020077
14593,2014-01-16,-0.00558
14593,2014-01-17,-0.024502
14593,2014-01-21,0.015536
14593,2014-01-22,0.004444
14593,2014-01-23,0.008468
14593,2014-01-24,-0.018178
14593,2014-01-27,0.008112
14593,2014-01-28,-0.079927
14593,2014-01-29,-0.011352
14593,2014-01-30,-0.001933
14593,2014-01-31,0.001637
14593,2014-02-03,0.001858
14593,2014-02-04,0.014476
14593,2014-02-05,0.007469
14593,2014-02-06,0.005794
14593,2014-02-07,0.01399
14593,2014-02-10,0.017915
14593,2014-02-11,0.013176
14593,2014-02-12,-0.000075
14593,2014-02-13,0.015879
14593,2014-02-14,-0.000808
14593,2014-02-18,0.003677
14593,2014-02-19,-0.015788
14593,2014-02-20,-0.011575
14593,2014-02-21,-0.011108
14593,2014-02-24,0.004379
14593,2014-02-25,-0.010407
14593,2014-02-26,-0.009022
14593,2014-02-27,0.019948
14593,2014-02-28,-0.00271
14593,2014-03-03,0.002888
14593,2014-03-04,0.006594
14593,2014-03-05,0.002108
14593,2014-03-06,-0.003024
14593,2014-03-07,-0.000584
14593,2014-03-10,0.000905
14593,2014-03-11,0.009738
14593,2014-03-12,0.00097
14593,2014-03-13,-0.011107
14593,2014-03-14,-0.011232
14593,2014-03-17,0.003907
14593,2014-03-18,0.008847
14593,2014-03-19,-0.000263
14593,2014-03-20,-0.004819
14593,2014-03-21,0.007887
14593,2014-03-24,0.01186
14593,2014-03-25,0.010757
14593,2014-03-26,-0.00956
14593,2014-03-27,-0.004298
14593,2014-03-28,-0.001116
14593,2014-03-31,-0.000224
14593,2014-04-01,0.009148
14593,2014-04-02,0.001662
14593,2014-04-03,-0.00693
14593,2014-04-04,-0.012936
14593,2014-04-07,-0.015701
14593,2014-04-08,-0.000057
14593,2014-04-09,0.013144
14593,2014-04-10,-0.012898
14593,2014-04-11,-0.007393
